station,riviere,b,f,DMEAN,CA_RHT,S_RHT,FR50,DMEAN_H50,L50_H50,Perm.,Ero.,x,y,Source,Q50,ID_RHT,ID_TGH,Q1,Q2,L1,L2,H1,H2,S_CARHYCE,DMEAN/H50,Lqb/Hqb,Ratio L,%RIFFLES,H50/sd profil,W_CARHYCE,Tclasse,sd profil,W50/WQb,Wspe,PatternAerial,Pattern_RMC
Eyrieux_4,Eyrieux,0.099542154,0.155577181,0.240975426,398,7.6,0.109118181,0.403994986,38.36548452,1.195426037,4.993661099,771253.2207,1989964.949,ESTIMHAB,3.603,11996,K6793,0.39,4.098,18.46,23.33,0.43,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Eyrieux_6,Eyrieux,0.072925259,0.38064767,0.398213463,836,2.4,0.187190157,0.719008054,55.75480164,1.149374762,4.982174167,788759.2391,1982558.931,ESTIMHAB,7.462,12316,K6500,1.139,7.742,27,31.05,0.27,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Eysse_1,Eysse,0.141690218,0.403584236,0.318376663,84,16,0.110042782,0.782964838,31.89260202,1.307186402,5,757708.9201,1992820.648,ESTIMHAB,1.159,11819,K6866,0.355,1.877,11.01,13.94,0.24,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Dorne_1,Dorne,0.14745127,0.196229585,0.571032782,65,12.3,0.079934087,1.309032669,21.13385551,1.052955811,5,761353.2215,1989876.1,ESTIMHAB,0.665,12006,,0.152,2.37,7.39,11.08,0.28,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Glueyre_1,Glueyre,0.226570301,0.270020854,0.43473357,82,24.8,0.134726443,1.0456288,19.11429305,1.012857672,5,772564.4002,1983326.129,ESTIMHAB,0.899,12299,,0.271,3.761,6.64,12.05,0.29,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Auzene_1,Auzene,0.118227753,0.231455095,0.441063636,25,27,0.070271545,1.464948525,25.75952676,1,5,770103.2196,1977379,ESTIMHAB,0.282,12554,,0.085,1.233,6.48,8.89,0.21,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Duniere_2,Duniere,0.207845256,0.264578696,0.492591723,92,22.1,0.099091724,1.359365695,18.58728432,1,5,783165.1892,1986114.949,ESTIMHAB,0.456,12124,K6601,0.03,1.624,4.48,10.27,0.16,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Boyon_1,Boyon,0.099653553,0.340482966,0.438711626,25,28.6,0.155856085,2.352031689,24.67631879,1.925709684,5,779039.2759,1977164.949,ESTIMHAB,0.181,12353,,0.016,1.017,3.2,4.84,0.09,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Embroye_1,Embroye,0.058198409,0.207070647,0.185199774,26,17.3,0.053498005,0.710587681,16.52122304,1.120936666,4.899219445,796789.7165,1988928.454,ESTIMHAB,0.096,12046,,0.028,0.796,3.58,4.35,0.18,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Lez_1,Lez,0.179583082,0.303375259,0.076519634,69,4,0.331526909,0.484516569,44.98493285,1.908612731,3.15708305,818737.1109,1948548.84,ESTIMHAB,0.463,13935,K4011,0.14,0.31,5.8,6.69,0.11,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Lez_2,Lez,0.120122849,0.136555602,0.055541642,108,11.9,0.323842547,0.244813569,30.48194814,1.696379415,3.102458825,813153.22,1942093.991,ESTIMHAB,0.758,14151,K3533,0.186,0.42,5.74,6.33,0.17,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Lez_3,Lez,0.120620125,0.100816931,0.045488166,121,9.6,0.243571026,0.146855237,21.16043856,1.690050941,3.046823994,811272.5149,1939384.244,ESTIMHAB,0.862,14335,K3401,0.08,0.32,4.78,5.65,0.2,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Lez_4,Lez,0.092343213,0.486472194,0.05215043,136,9,0.100313932,0.123573705,26.76624965,1.62520437,3.041877229,805818.967,1937480.695,ESTIMHAB,0.973,14399,K3195,0.085,0.22,8.28,9.04,0.17,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
